canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,RingCount,BertzCT,Chi0v,Chi1v,Chi2v,Chi3v,Kappa1,Kappa2,Kappa3,MaxEStateIndex,MinEStateIndex,qed,LabuteASA,fr_NH0,fr_NH1,fr_NH2,fr_C_O,fr_COO,fr_N_O,UMAP1,UMAP2,UMAP3_1,UMAP3_2,UMAP3_3,cluster_label
O=c1cc(N2CCCCC2)oc2c(-c3ccccc3)cccc12,CHEMBL176064,100000.0,100.0,CHEMBL4005,4.0,305.37700000000007,4.450300000000003,0,3,33.45,2,3,4,877.032304002683,12.995396505067058,8.200485573048326,6.04487965032917,4.494222994825103,14.068468728547336,5.917252508596596,2.6304983560977626,12.539061397707233,0.0320412887377172,0.7010753182136558,134.71521387000624,1,0,0,0,0,0,15.285612,1.5526633,9.872376,-4.3840733,9.639509,1
O=c1cc(N2CCSCC2)oc2c(-c3ccccc3)cccc12,CHEMBL175944,100000.0,100.0,CHEMBL4005,4.0,323.41700000000003,4.013200000000003,0,4,33.45,2,3,4,882.7602431450022,13.5130345952721,8.932536380617202,6.821336785636732,5.09174319009787,14.395932490643316,6.125583838100908,2.745676721345916,12.533853064373895,0.0252385676492821,0.7132573892443903,138.47338178097485,1,0,0,0,0,0,15.176333,1.2465945,9.714142,-4.1705556,9.412021,1
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,CHEMBL188678,5000.0,5.0,CHEMBL4005,5.301029995663981,413.4980000000001,5.664500000000005,0,5,42.68000000000001,2,5,6,1460.3467778891263,17.075983424115215,10.9132643161525,8.563244679383706,6.978766936332703,17.686687869206374,6.971872710457729,2.7381019521358443,12.914883489693192,-0.0110115373309818,0.3742506554581847,176.46750931899828,1,0,0,0,0,0,15.191267,1.0373492,9.558669,-4.0987787,9.089448,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,CHEMBL379156,940.0,940.0,CHEMBL4005,6.026872146400302,305.286,3.115200000000001,2,5,79.54,2,2,3,781.0312385857613,11.23876942643012,6.679898229999079,5.230459502876476,3.578029829280566,13.443393675664986,5.098519716718352,2.6800880153743045,12.939504029543365,-0.5530678343421849,0.8333558140840737,122.00294642569384,0,1,0,2,0,0,22.461802,19.510683,-2.05072,-6.681686,21.039877,22
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,CHEMBL428496,1.0,1.0,CHEMBL4005,9.0,428.4370000000003,2.5364000000000004,0,8,109.11,3,1,5,1077.324782880168,17.903814525215598,10.458126548420948,9.295721677857696,7.696355112491032,20.17879063821576,6.384923764012375,2.392775136796449,13.69941901297556,-0.9881802721088442,0.6759236684837596,178.43342899950392,0,0,0,4,0,0,30.667528,15.686919,9.235597,-9.028783,-5.3680487,23
O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,CHEMBL437688,600.0,0.6,CHEMBL4005,6.221848749616356,348.3610000000001,3.049200000000001,2,7,105.61,3,2,3,871.8026224573912,12.941011710776303,7.487919453378418,6.231674432704625,4.161268509995911,15.253562902571955,5.858162710249074,3.099571963937214,11.595221368671943,-0.5603002956105407,0.379924420483656,138.68764489242852,1,1,0,1,0,0,22.461855,19.510181,-2.0535042,-6.678379,21.042465,22
O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,CHEMBL377337,20000.0,20.0,CHEMBL4005,4.698970004336019,331.37400000000014,3.1336000000000013,2,5,79.54,3,2,3,822.4548696217439,12.66290009400211,7.436621762523592,6.159069802226277,4.0988936609999325,14.552813948095135,5.781862423041486,2.9497696632768173,11.59080540771558,-0.996956723231074,0.6643286516579312,134.56113338436913,0,1,0,2,1,0,22.462034,19.509983,-2.0702236,-6.661766,21.059202,22
O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,CHEMBL209159,340.0,340.0,CHEMBL4005,6.468521082957745,339.344,3.7228000000000008,2,5,66.4,2,2,3,829.4905971405748,12.355880211177446,7.602043714098086,6.468122825862673,4.711974596704068,14.735020197567213,5.542480498535946,2.74605284585917,13.363311697855348,-1.0420115433174597,0.818524220413688,131.01451583495475,0,1,0,2,0,0,22.467964,19.498774,-2.0528212,-6.6791534,21.041803,22
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,CHEMBL211068,1000.0,1000.0,CHEMBL4005,6.0,305.286,3.1152000000000006,2,5,79.54,2,2,3,781.0312385857613,11.23876942643012,6.679898229999079,5.233137722009379,3.5709199595065546,13.443393675664986,5.098519716718352,2.6800880153743045,13.715289059685704,-0.6187821502057613,0.8333558140840737,122.00294642569384,0,1,0,2,0,0,22.46259,19.509924,-2.0498204,-6.681594,21.038528,22
O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,CHEMBL208696,1350.0,1350.0,CHEMBL4005,5.8696662315049934,331.305,2.674300000000001,3,6,116.84,3,2,3,866.6020979021797,12.216266839384714,7.168646936476376,5.606069311643779,3.861755297068645,14.917355371900827,5.652892561983471,2.9697133585722013,11.471587300719696,-1.1271419084162588,0.7401433989070504,133.158108989404,0,1,0,3,1,0,22.462269,19.51019,-2.0527568,-6.679195,21.041729,22
O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,CHEMBL210991,1250.0,1250.0,CHEMBL4005,5.903089986991944,332.293,2.884300000000001,2,7,122.68,3,2,3,869.902487927501,12.12451512984858,7.085654227058264,5.499404051241311,3.829673303028928,14.85016445810978,5.612130118189583,2.811526126788738,11.461888035338612,-0.6986336289438739,0.5030065140733324,132.4903867452674,1,1,0,2,0,0,22.476,19.495989,-2.053377,-6.678557,21.042349,22
O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,CHEMBL211819,100.0,100.0,CHEMBL4005,7.0,303.295,2.6817000000000006,3,6,99.77,2,2,3,777.4215981113246,11.30801854892085,6.714522791244445,5.270440502387645,3.5983879267020527,13.319405260810983,5.023727933276872,2.632903728993828,11.428830184098944,-0.4693029835390947,0.5823880982704329,122.63164477496365,0,1,0,2,0,0,22.47925,19.495167,-2.0651042,-6.6667676,21.054031,22
Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,CHEMBL377104,500.0,500.0,CHEMBL4005,6.301029995663981,301.3230000000001,3.2845200000000023,2,5,79.54,2,2,3,775.73084856044,11.860804953420892,6.990915993494466,5.58959188183011,3.770306838979341,13.510186765284027,5.138945532517618,2.705647401106692,11.461888035338614,-0.4293029835390942,0.8320679769641545,124.20235313716422,0,1,0,2,0,0,22.45155,19.521025,-2.068315,-6.6636705,21.057291,22
