Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf1 (s^-1),kr1 (s^-1),kf2 (s^-1),kr2 (s^-1)
4.1000000000000005,0.3787488827466131,0.12005021995236963,0.5012008973010174,291.58665170552126,0.18162458131253337,0.00030562210326317397,0.7355440414158045,0.0002287833193414495
4.2,0.3719303202500297,0.11811679956420207,0.5099528801857683,291.49130497118233,0.180124522570667,0.00030267927112190957,0.7299734201037071,0.0002267370149095651
4.3,0.36528850178105854,0.11621161619244144,0.5184998820265001,291.39827284293153,0.17867217727653253,0.00029983393259905104,0.7245763031145414,0.00022475715127106576
4.4,0.35881665036607296,0.11433539387838638,0.5268479557555408,291.3074795254911,0.1772654714734502,0.00029708168017276277,0.7193453025495261,0.00022284078226483857
4.5,0.3525083441458004,0.11248866945498674,0.535002986399213,291.21885212498546,0.17590244091587134,0.0002944183492247877,0.714273412857377,0.00022098512087544985
4.6000000000000005,0.34635749316650705,0.11067181838428468,0.5429706884492084,291.13232055684836,0.17458122483807692,0.00029184000345845615,0.7093539897809795,0.00021918752993099793
4.7,0.34035831794169913,0.10888507720166035,0.5507566048566406,291.04781745055794,0.17330006002335765,0.00028934292111319954,0.7045807302416327,0.00021744551328062772
4.800000000000001,0.33450532963445984,0.10712856302663254,0.5583661073389077,290.9652780527059,0.17205727517667685,0.0002869235819638503,0.6999476531865737,0.00021575670744996146
4.9,0.32879331172393106,0.10540229053444884,0.5658043977416202,290.884640129596,0.17085128559873167,0.0002845786550842225,0.6954490814056348,0.0002141188737661246
5.0,0.32321730303166624,0.10370618672703075,0.5730765102413031,290.805843870314,0.16968058815559997,0.0002823049873483616,0.6910796243082341,0.00021252989093935922
5.1000000000000005,0.3177725819947106,0.10204010379446124,0.5801873142108283,290.728831791006,0.16854375653544676,0.00028009959263870635,0.6868341616408322,0.00021098774808490337
5.2,0.3124546520823862,0.10040383031781629,0.5871415175997976,290.6535486409305,0.16743943678193676,0.0002779596417279775,0.6827078281173408,0.00020949053816668827
5.300000000000001,0.30725922826295815,0.09879710102966115,0.5939436707073807,290.5799413107164,0.16636634309273374,0.00027588245280017623,0.6786959989293471,0.0002080364518430475
5.4,0.3021822244347082,0.09721960531904746,0.6005981702462444,290.50795874314207,0.16532325387075766,0.00027386548257575093,0.674794276099626,0.0002066237716939918
5.5,0.2972197417435226,0.09567099464259676,0.6071092636138807,290.43755184666674,0.1643090080154749,0.0002719063180061063,0.6709984756400721,0.00020525086680937683
5.6000000000000005,0.2923680577159754,0.09415088898159861,0.6134810533024261,290.36867341186576,0.16332250144141763,0.0002700026685034226,0.6673046154742599,0.0002039161877174932
