Time (s),N_R,N_P,R Concentration (mol/L),P Concentration (mol/L),k (s^-1)
4.033802544136032,4040,1960,6.7087346396545994e-21,3.2547326469611424e-21,0.101
4.036074590449946,4039,1961,6.707074061773497e-21,3.256393224842245e-21,0.101
4.0368242758264445,4038,1962,6.705413483892394e-21,3.2580538027233476e-21,0.101
4.045594562906626,4037,1963,6.703752906011292e-21,3.2597143806044504e-21,0.101
4.0466963954533375,4036,1964,6.702092328130189e-21,3.2613749584855528e-21,0.101
4.046887590828135,4035,1965,6.700431750249086e-21,3.2630355363666555e-21,0.101
4.04739951774916,4034,1966,6.6987711723679836e-21,3.264696114247758e-21,0.101
4.048981784599241,4033,1967,6.697110594486881e-21,3.2663566921288607e-21,0.101
4.049338391397542,4032,1968,6.695450016605779e-21,3.2680172700099635e-21,0.101
4.0509353509848,4031,1969,6.693789438724676e-21,3.269677847891066e-21,0.101
4.0538686461160465,4030,1970,6.692128860843573e-21,3.2713384257721686e-21,0.101
4.05506642297932,4029,1971,6.6904682829624704e-21,3.272999003653271e-21,0.101
4.055072787845143,4028,1972,6.688807705081368e-21,3.2746595815343738e-21,0.101
4.061561351597884,4027,1973,6.687147127200266e-21,3.2763201594154766e-21,0.101
4.06594311050931,4026,1974,6.685486549319163e-21,3.277980737296579e-21,0.101
4.067238982274319,4025,1975,6.68382597143806e-21,3.2796413151776817e-21,0.101
4.071272069082763,4024,1976,6.682165393556957e-21,3.281301893058784e-21,0.101
4.078178160614061,4023,1977,6.6805048156758546e-21,3.282962470939887e-21,0.101
4.08336236838321,4022,1978,6.6788442377947525e-21,3.2846230488209897e-21,0.101
4.083405169089914,4021,1979,6.67718365991365e-21,3.286283626702092e-21,0.101
4.087135249203021,4020,1980,6.675523082032547e-21,3.287944204583195e-21,0.101
4.087529263302237,4019,1981,6.673862504151444e-21,3.2896047824642972e-21,0.101
4.09065829501074,4018,1982,6.6722019262703415e-21,3.2912653603454e-21,0.101
4.098693233711465,4017,1983,6.6705413483892394e-21,3.2929259382265028e-21,0.101
4.101690159601631,4016,1984,6.668880770508137e-21,3.2945865161076052e-21,0.101
4.10430395098846,4015,1985,6.667220192627034e-21,3.296247093988708e-21,0.101
4.1080902251934335,4014,1986,6.665559614745931e-21,3.2979076718698107e-21,0.101
4.108473629896044,4013,1987,6.663899036864828e-21,3.299568249750913e-21,0.101
4.112566102299814,4012,1988,6.662238458983726e-21,3.301228827632016e-21,0.101
4.113399844994459,4011,1989,6.6605778811026236e-21,3.3028894055131183e-21,0.101
4.115384679687994,4010,1990,6.658917303221521e-21,3.304549983394221e-21,0.101
4.115665552621525,4009,1991,6.657256725340418e-21,3.306210561275324e-21,0.101
4.117839939273732,4008,1992,6.655596147459315e-21,3.3078711391564262e-21,0.101
4.118496073910541,4007,1993,6.653935569578213e-21,3.309531717037529e-21,0.101
4.120088702380356,4006,1994,6.6522749916971104e-21,3.3111922949186314e-21,0.101
4.122638272532301,4005,1995,6.650614413816008e-21,3.312852872799734e-21,0.101
4.126903987399388,4004,1996,6.648953835934905e-21,3.314513450680837e-21,0.101
4.130541564660201,4003,1997,6.647293258053802e-21,3.3161740285619393e-21,0.101
4.130652731514528,4002,1998,6.6456326801727e-21,3.317834606443042e-21,0.101
4.131704578298418,4001,1999,6.643972102291597e-21,3.3194951843241445e-21,0.101
4.140367957647442,4000,2000,6.6423115244104946e-21,3.3211557622052473e-21,0.101
4.140843130300859,3999,2001,6.640650946529392e-21,3.32281634008635e-21,0.101
4.143036987551659,3998,2002,6.638990368648289e-21,3.3244769179674525e-21,0.101
4.143551101436923,3997,2003,6.637329790767187e-21,3.3261374958485552e-21,0.101
4.146756183838103,3996,2004,6.635669212886084e-21,3.3277980737296576e-21,0.101
4.148237737674444,3995,2005,6.6340086350049815e-21,3.3294586516107604e-21,0.101
4.151785811115624,3994,2006,6.632348057123879e-21,3.331119229491863e-21,0.101
4.152791229688635,3993,2007,6.630687479242776e-21,3.3327798073729656e-21,0.101
4.158042664892901,3992,2008,6.629026901361674e-21,3.3344403852540683e-21,0.101
4.158224630105768,3991,2009,6.627366323480571e-21,3.3361009631351707e-21,0.101
4.1589203680474505,3990,2010,6.625705745599468e-21,3.3377615410162735e-21,0.101
4.159706954013462,3989,2011,6.6240451677183656e-21,3.3394221188973763e-21,0.101
4.161575048782379,3988,2012,6.622384589837263e-21,3.3410826967784787e-21,0.101
4.163703039749549,3987,2013,6.620724011956161e-21,3.3427432746595814e-21,0.101
4.165426219169979,3986,2014,6.619063434075058e-21,3.344403852540684e-21,0.101
4.17170374007201,3985,2015,6.617402856193955e-21,3.3460644304217866e-21,0.101
4.173717912096928,3984,2016,6.6157422783128525e-21,3.3477250083028894e-21,0.101
4.17774189308522,3983,2017,6.61408170043175e-21,3.3493855861839918e-21,0.101
4.180141419969988,3982,2018,6.612421122550648e-21,3.3510461640650945e-21,0.101
4.182767238295808,3981,2019,6.610760544669545e-21,3.352706741946197e-21,0.101
4.183427976951175,3980,2020,6.609099966788442e-21,3.3543673198272997e-21,0.101
4.189927140702293,3979,2021,6.607439388907339e-21,3.3560278977084025e-21,0.101
4.190323592777211,3978,2022,6.6057788110262366e-21,3.357688475589505e-21,0.101
4.190620966974503,3977,2023,6.6041182331451346e-21,3.3593490534706077e-21,0.101
4.193872191454612,3976,2024,6.602457655264032e-21,3.3610096313517104e-21,0.101
4.194410205131793,3975,2025,6.600797077382929e-21,3.362670209232813e-21,0.101
4.194582840928187,3974,2026,6.599136499501826e-21,3.3643307871139156e-21,0.101
4.195758242827435,3973,2027,6.5974759216207235e-21,3.365991364995018e-21,0.101
4.19718544572952,3972,2028,6.5958153437396215e-21,3.3676519428761208e-21,0.101
4.197585348963567,3971,2029,6.594154765858519e-21,3.3693125207572235e-21,0.101
4.197787063640779,3970,2030,6.592494187977416e-21,3.370973098638326e-21,0.101
4.1977964735869335,3969,2031,6.590833610096313e-21,3.3726336765194287e-21,0.101
4.200601545808739,3968,2032,6.5891730322152104e-21,3.374294254400531e-21,0.101
4.203157768578703,3967,2033,6.5875124543341076e-21,3.375954832281634e-21,0.101
4.206060826334578,3966,2034,6.5858518764530056e-21,3.3776154101627366e-21,0.101
4.2102260419125175,3965,2035,6.584191298571903e-21,3.379275988043839e-21,0.101
4.2114263908856415,3964,2036,6.5825307206908e-21,3.3809365659249418e-21,0.101
4.211821081511338,3963,2037,6.580870142809697e-21,3.3825971438060442e-21,0.101
4.214285480090654,3962,2038,6.5792095649285945e-21,3.384257721687147e-21,0.101
4.215317012810386,3961,2039,6.5775489870474925e-21,3.3859182995682498e-21,0.101
4.216307721529296,3960,2040,6.57588840916639e-21,3.387578877449352e-21,0.101
4.217163694614901,3959,2041,6.574227831285287e-21,3.3892394553304545e-21,0.101
4.221731566545002,3958,2042,6.572567253404184e-21,3.390900033211557e-21,0.101
4.2252799479788345,3957,2043,6.5709066755230814e-21,3.39256061109266e-21,0.101
4.226976089033477,3956,2044,6.569246097641979e-21,3.394221188973763e-21,0.101
4.231128810776175,3955,2045,6.5675855197608766e-21,3.395881766854866e-21,0.101
4.232369256931212,3954,2046,6.565924941879774e-21,3.397542344735968e-21,0.101
4.232625673530526,3953,2047,6.564264363998671e-21,3.3992029226170704e-21,0.101
4.241394067832308,3952,2048,6.562603786117568e-21,3.400863500498173e-21,0.101
4.241941848416402,3951,2049,6.560943208236466e-21,3.402524078379276e-21,0.101
4.242537248795038,3950,2050,6.5592826303553635e-21,3.404184656260379e-21,0.101
4.242823020528913,3949,2051,6.557622052474261e-21,3.405845234141481e-21,0.101
4.242945612639037,3948,2052,6.555961474593158e-21,3.4075058120225835e-21,0.101
4.246490383142937,3947,2053,6.554300896712055e-21,3.409166389903686e-21,0.101
4.24745851403397,3946,2054,6.552640318830953e-21,3.410826967784789e-21,0.101
4.248636545402894,3945,2055,6.5509797409498504e-21,3.412487545665892e-21,0.101
4.249050764252023,3944,2056,6.5493191630687476e-21,3.414148123546994e-21,0.101
4.249880886577384,3943,2057,6.547658585187645e-21,3.415808701428097e-21,0.101
4.251880226907982,3942,2058,6.545998007306542e-21,3.4174692793091994e-21,0.101
4.252579258760236,3941,2059,6.54433742942544e-21,3.419129857190302e-21,0.101
4.257721592992563,3940,2060,6.542676851544337e-21,3.420790435071405e-21,0.101
4.257838984584528,3939,2061,6.5410162736632345e-21,3.422451012952507e-21,0.101
4.258393460495024,3938,2062,6.539355695782132e-21,3.42411159083361e-21,0.101
4.259554060318928,3937,2063,6.537695117901029e-21,3.4257721687147125e-21,0.101
4.265657259032557,3936,2064,6.536034540019927e-21,3.427432746595815e-21,0.101
4.277472115287294,3935,2065,6.534373962138824e-21,3.429093324476918e-21,0.101
4.278844248100894,3934,2066,6.5327133842577214e-21,3.43075390235802e-21,0.101
4.279489860991579,3933,2067,6.5310528063766186e-21,3.432414480239123e-21,0.101
4.280121399088932,3932,2068,6.529392228495516e-21,3.434075058120226e-21,0.101
4.281945074131,3931,2069,6.527731650614414e-21,3.4357356360013284e-21,0.101
4.282292918155277,3930,2070,6.526071072733311e-21,3.437396213882431e-21,0.101
4.284024884772643,3929,2071,6.524410494852208e-21,3.439056791763533e-21,0.101
4.284066478101855,3928,2072,6.5227499169711055e-21,3.440717369644636e-21,0.101
4.285925799798795,3927,2073,6.521089339090003e-21,3.442377947525739e-21,0.101
4.289593741672949,3926,2074,6.519428761208901e-21,3.4440385254068415e-21,0.101
4.292499444086007,3925,2075,6.517768183327798e-21,3.445699103287944e-21,0.101
4.3009203474596065,3924,2076,6.516107605446695e-21,3.447359681169046e-21,0.101
4.3015845188508015,3923,2077,6.5144470275655924e-21,3.449020259050149e-21,0.101
4.304286942603978,3922,2078,6.51278644968449e-21,3.450680836931252e-21,0.101
4.309172889937989,3921,2079,6.5111258718033876e-21,3.4523414148123546e-21,0.101
4.3134725283534365,3920,2080,6.509465293922285e-21,3.4540019926934574e-21,0.101
4.313757435620682,3919,2081,6.507804716041182e-21,3.45566257057456e-21,0.101
4.31508587098547,3918,2082,6.506144138160079e-21,3.457323148455662e-21,0.101
4.3278484318056964,3917,2083,6.5044835602789765e-21,3.458983726336765e-21,0.101
4.3281870185091975,3916,2084,6.5028229823978745e-21,3.460644304217868e-21,0.101
4.330246551327534,3915,2085,6.501162404516772e-21,3.4623048820989705e-21,0.101
4.330513015480467,3914,2086,6.499501826635669e-21,3.463965459980073e-21,0.101
4.331243786585087,3913,2087,6.497841248754566e-21,3.465626037861175e-21,0.101
4.333081687158317,3912,2088,6.4961806708734634e-21,3.467286615742278e-21,0.101
4.333197972287388,3911,2089,6.4945200929923614e-21,3.468947193623381e-21,0.101
4.336216923778753,3910,2090,6.492859515111259e-21,3.4706077715044836e-21,0.101
4.336245787894148,3909,2091,6.491198937230156e-21,3.472268349385586e-21,0.101
4.33743141958319,3908,2092,6.489538359349053e-21,3.4739289272666884e-21,0.101
