Operator_Type,C_rate,M_constant,Final_R_Concentration,Temperature_Std_Dev
compositional,88.9,0.1,0.16670475114318092,2.606859755285405
compositional,88.9,2.575,0.12453762817901551,2.6757104119878883
compositional,88.9,5.05,0.09399567124024959,2.707888770946743
compositional,88.9,7.525,0.07145968396222462,2.7162168999486034
compositional,88.9,10.0,0.05461312126230184,2.708670778494564
compositional,100.0,0.1,0.16645424070157788,2.6073301972740417
compositional,100.0,2.575,0.12000771283455516,2.6816242382842717
compositional,100.0,5.05,0.08760335611221913,2.7118950049628627
compositional,100.0,7.525,0.06449150936076192,2.714893544792818
compositional,100.0,10.0,0.047760015302863584,2.700559959939417
